          table          |                     index                     | index_size | size_bytes
-------------------------+-----------------------------------------------+------------+------------
 pg_depend               | pg_depend_reference_index                     | 424 kB     |     434176
 edit_history            | edit_history_pkey                             | 352 kB     |     360448
 pg_depend               | pg_depend_depender_index                      | 344 kB     |     352256
 pg_proc                 | pg_proc_proname_args_nsp_index                | 256 kB     |     262144
 pg_description          | pg_description_o_c_o_index                    | 216 kB     |     221184
 meaning_categories      | meaning_categories_pkey                       | 184 kB     |     188416
 lemmata                 | lemmata_pkey                                  | 144 kB     |     147456
 variants                | variants_pkey                                 | 144 kB     |     147456
 meanings                | meanings_pkey                                 | 144 kB     |     147456
 pg_attribute            | pg_attribute_relid_attnam_index               | 136 kB     |     139264
 pg_attribute            | pg_attribute_relid_attnum_index               | 96 kB      |      98304
 pg_proc                 | pg_proc_oid_index                             | 88 kB      |      90112
 pg_class                | pg_class_relname_nsp_index                    | 48 kB      |      49152
 pg_collation            | pg_collation_name_enc_nsp_index               | 48 kB      |      49152
 pg_amop                 | pg_amop_fam_strat_index                       | 48 kB      |      49152
 pg_type                 | pg_type_typname_nsp_index                     | 48 kB      |      49152
 pg_operator             | pg_operator_oprname_l_r_n_index               | 48 kB      |      49152
 pg_amop                 | pg_amop_opr_fam_index                         | 48 kB      |      49152
 pg_collation            | pg_collation_oid_index                        | 40 kB      |      40960
 pg_statistic            | pg_statistic_relid_att_inh_index              | 40 kB      |      40960
 pg_class                | pg_class_tblspc_relfilenode_index             | 40 kB      |      40960
 pg_amproc               | pg_amproc_fam_proc_index                      | 40 kB      |      40960
 pg_operator             | pg_operator_oid_index                         | 40 kB      |      40960
 pg_amop                 | pg_amop_oid_index                             | 40 kB      |      40960
 pg_amproc               | pg_amproc_oid_index                           | 32 kB      |      32768
 pg_class                | pg_class_oid_index                            | 32 kB      |      32768
 pg_ts_config_map        | pg_ts_config_map_index                        | 32 kB      |      32768
 pg_type                 | pg_type_oid_index                             | 32 kB      |      32768
 pg_cast                 | pg_cast_source_target_index                   | 16 kB      |      16384
 pg_attrdef              | pg_attrdef_adrelid_adnum_index                | 16 kB      |      16384
 pg_attrdef              | pg_attrdef_oid_index                          | 16 kB      |      16384
 users                   | users_pkey1                                   | 16 kB      |      16384
 pg_constraint           | pg_constraint_conname_nsp_index               | 16 kB      |      16384
 pg_constraint           | pg_constraint_conrelid_contypid_conname_index | 16 kB      |      16384
 pg_constraint           | pg_constraint_contypid_index                  | 16 kB      |      16384
 pg_constraint           | pg_constraint_conparentid_index               | 16 kB      |      16384
 pg_index                | pg_index_indrelid_index                       | 16 kB      |      16384
 pg_opfamily             | pg_opfamily_am_name_nsp_index                 | 16 kB      |      16384
 pg_opclass              | pg_opclass_am_name_nsp_index                  | 16 kB      |      16384
 pg_am                   | pg_am_name_index                              | 16 kB      |      16384
 pg_language             | pg_language_name_index                        | 16 kB      |      16384
 pg_rewrite              | pg_rewrite_rel_rulename_index                 | 16 kB      |      16384
 pg_trigger              | pg_trigger_tgconstraint_index                 | 16 kB      |      16384
 pg_trigger              | pg_trigger_tgrelid_tgname_index               | 16 kB      |      16384
 pg_opfamily             | pg_opfamily_oid_index                         | 16 kB      |      16384
 pg_opclass              | pg_opclass_oid_index                          | 16 kB      |      16384
 pg_am                   | pg_am_oid_index                               | 16 kB      |      16384
 pg_language             | pg_language_oid_index                         | 16 kB      |      16384
 pg_aggregate            | pg_aggregate_fnoid_index                      | 16 kB      |      16384
 pg_rewrite              | pg_rewrite_oid_index                          | 16 kB      |      16384
 pg_trigger              | pg_trigger_oid_index                          | 16 kB      |      16384
 pg_cast                 | pg_cast_oid_index                             | 16 kB      |      16384
 pg_namespace            | pg_namespace_nspname_index                    | 16 kB      |      16384
 languages               | languages_pkey                                | 16 kB      |      16384
 pg_conversion           | pg_conversion_default_index                   | 16 kB      |      16384
 pg_conversion           | pg_conversion_name_nsp_index                  | 16 kB      |      16384
 pg_database             | pg_database_datname_index                     | 16 kB      |      16384
 pg_tablespace           | pg_tablespace_spcname_index                   | 16 kB      |      16384
 pg_authid               | pg_authid_rolname_index                       | 16 kB      |      16384
 partsofspeech           | partsofspeech_pkey                            | 16 kB      |      16384
 pg_auth_members         | pg_auth_members_member_role_index             | 16 kB      |      16384
 pg_shdepend             | pg_shdepend_depender_index                    | 16 kB      |      16384
 pg_shdepend             | pg_shdepend_reference_index                   | 16 kB      |      16384
 pg_ts_config            | pg_ts_config_cfgname_index                    | 16 kB      |      16384
 pg_ts_dict              | pg_ts_dict_dictname_index                     | 16 kB      |      16384
 pg_ts_parser            | pg_ts_parser_prsname_index                    | 16 kB      |      16384
 pg_ts_template          | pg_ts_template_tmplname_index                 | 16 kB      |      16384
